location,category,parentCategory
The Signature Room at the 95th,Dining,Shopping & Dining
Magnolia Bakery,Dining,Shopping & Dining
Black Tap Craft Burgers & Beer,Dining,Shopping & Dining
Tatte Bakery & Cafe,Cafes,Shopping & Dining
Peet's Coffee,Cafes,Shopping & Dining
Scoma's Restaurant,Dining,Shopping & Dining
IHOP,Dining,Shopping & Dining
Super Duper Burgers,Dining,Shopping & Dining
BURGERFI,Dining,Shopping & Dining
DAOU Vineyards,Wineries,Entertainment & Culture
Copper Rock Coffee Co,Cafes,Shopping & Dining
"Sterling Vineyards, Napa Valley",Wineries,Entertainment & Culture
Hell's Kitchen,Dining,Shopping & Dining
Oak Lawn Coffee,Cafes,Shopping & Dining
Kitchen 17,Dining,Shopping & Dining
Bubba Gump Shrimp Co.,Dining,Shopping & Dining
Early Bird Restaurant - The Landmark,Dining,Shopping & Dining
Carson Kitchen,Dining,Shopping & Dining
Partners Coffee,Cafes,Shopping & Dining
Monte De Oro Winery,Wineries,Entertainment & Culture
MOD Pizza,Dining,Shopping & Dining
La Carreta Mexican Restaurant,Dining,Shopping & Dining
"Hell's Kitchen, Manhattan",Dining,Shopping & Dining
In-N-Out Burger - Kettleman City,Dining,Shopping & Dining
Huckleberry Bakery & Cafe,Cafes,Shopping & Dining
Newport Seafood Restaurant,Dining,Shopping & Dining
1/4 Lb Giant Burgers,Dining,Shopping & Dining
Rock Bottom Restaurant & Brewery,Dining,Shopping & Dining
In-N-Out Burger Los Angeles,Dining,Shopping & Dining
Levain Bakery,Dining,Shopping & Dining
Savannah's Candy Kitchen,Dining,Shopping & Dining
PizzaPapalis,Dining,Shopping & Dining
Balanced Coffee Co,Cafes,Shopping & Dining
FAMOUS ORIGINAL RAY'S PIZZA,Dining,Shopping & Dining
Boudin Bakery Cafe,Dining,Shopping & Dining
Red Robin Gourmet Burgers,Dining,Shopping & Dining
Heng Seng Restaurant,Dining,Shopping & Dining
Panda Express Hells Kitchen,Dining,Shopping & Dining
Bird Rock Coffee Roasters,Cafes,Shopping & Dining
Sagami Japanese Restaurant,Dining,Shopping & Dining
Perkins Family Restaurant,Dining,Shopping & Dining
Snook Haven Restaurant,Dining,Shopping & Dining
Cockscomb Restaurant,Dining,Shopping & Dining
Addison Restaurant,Dining,Shopping & Dining
Wahlburgers,Dining,Shopping & Dining
Carlo's Bakery,Dining,Shopping & Dining
Pachamama Coffee,Cafes,Shopping & Dining
Alioto's Restaurant,Dining,Shopping & Dining
Umami Burger,Dining,Shopping & Dining
Williamsburg Winery,Wineries,Entertainment & Culture
"San Diego Seaport Village, Shops & Restaurants",Shopping,Shopping & Dining
Joe's Pizza,Dining,Shopping & Dining
Beringer Vineyards,Wineries,Entertainment & Culture
Twin Peaks Restaurants,Dining,Shopping & Dining
The Pressroom Restaurant,Dining,Shopping & Dining
Crescent City Pizza Works,Dining,Shopping & Dining
Sci-Fi Dine-In Theater Restaurant,Dining,Shopping & Dining
Pier Burger,Dining,Shopping & Dining
868 Estate Vineyards,Wineries,Entertainment & Culture
Corner Bakery Cafe,Cafes,Shopping & Dining
Willamette Valley Vineyards,Wineries,Entertainment & Culture
Angelo's Restaurant,Dining,Shopping & Dining
Top of the World Restaurant,Dining,Shopping & Dining
Alfred Coffee Silverlake,Cafes,Shopping & Dining
44 & X Hell's Kitchen,Dining,Shopping & Dining
Pho Pasteur Restaurant,Dining,Shopping & Dining
Brooklyn Bagel and Coffee Company,Cafes,Shopping & Dining
Burger King,Dining,Shopping & Dining
Twisted Root Burger Co.,Dining,Shopping & Dining
Houston's Restaurant - Bergen County,Dining,Shopping & Dining
Intelligentsia Coffee,Cafes,Shopping & Dining
Sightglass Coffee,Cafes,Shopping & Dining
Coava Coffee Roasters,Cafes,Shopping & Dining
Ritual Coffee Roasters,Cafes,Shopping & Dining
Andytown Coffee Roasters,Cafes,Shopping & Dining
Stumptown Coffee Roasters,Cafes,Shopping & Dining
Coffeehouse Northwest,Cafes,Shopping & Dining
Fix Coffeebar,Cafes,Shopping & Dining
"Tatte Bakery & Café, Beacon Hill",Cafes,Shopping & Dining
Champion Coffee,Cafes,Shopping & Dining
Irving Farm Coffee Roasters,Cafes,Shopping & Dining
Restaurant Bricco,Dining,Shopping & Dining
El Tapatio Mexican Restaurant,Dining,Shopping & Dining
Los Portales Mexican Restaurant,Dining,Shopping & Dining
BJ's Restaurant & Brewhouse,Dining,Shopping & Dining
The Donut Kitchen,Cafes,Shopping & Dining
Marigold Kitchen,Dining,Shopping & Dining
"Columbia Restaurant, Ybor City",Dining,Shopping & Dining
La Madeleine French Bakery & Café,Cafes,Shopping & Dining
Serious Pizza,Dining,Shopping & Dining
The Habit Burger Grill,Dining,Shopping & Dining
William Hill Winery,Wineries,Entertainment & Culture
Mercer Kitchen,Dining,Shopping & Dining
Kitchen Kettle Village,Shopping,Shopping & Dining
Frenchie's Italian Restaurant,Dining,Shopping & Dining
Philz Coffee - Middlefield Rd,Cafes,Shopping & Dining
Green River Coffee Co.,Cafes,Shopping & Dining
Lazy Dog Restaurant & Bar,Dining,Shopping & Dining
Philz Coffee,Cafes,Shopping & Dining
"Starbucks Coffee, Miami Beach, Florida, Usa",Cafes,Shopping & Dining
Smashburger,Dining,Shopping & Dining
Arsicault Bakery,Cafes,Shopping & Dining
Nickel & Nickel Winery,Wineries,Entertainment & Culture
Ledson Winery & Vineyards,Wineries,Entertainment & Culture
Cross Eyed Cow Pizza,Dining,Shopping & Dining
Pepe's Pizza,Dining,Shopping & Dining
Red Mill Burgers,Dining,Shopping & Dining
Bareburger,Dining,Shopping & Dining
Weber Grill Restaurant Chicago,Dining,Shopping & Dining
ABC Kitchen,Dining,Shopping & Dining
In-N-Out Burger - Hesperia (Bear Valley),Dining,Shopping & Dining
Rosetta Bakery,Cafes,Shopping & Dining
Sterling Vineyards,Wineries,Entertainment & Culture
KoJa Kitchen,Dining,Shopping & Dining
Powell Street Pizza,Dining,Shopping & Dining
Tan Wong Restaurant,Dining,Shopping & Dining
Tennessee,Travel and Transit,Travel & Transit
Connecticut,Travel and Transit,Travel & Transit
Arizona,Travel and Transit,Travel & Transit
Utah,Travel and Transit,Travel & Transit
California,Travel and Transit,Travel & Transit
Nevada,Travel and Transit,Travel & Transit
Florida,Travel and Transit,Travel & Transit
New York,Travel and Transit,Travel & Transit
Texas,Travel and Transit,Travel & Transit
New Hampshire,Travel and Transit,Travel & Transit
Iowa,Travel and Transit,Travel & Transit
Massachusetts,Travel and Transit,Travel & Transit
New Jersey,Travel and Transit,Travel & Transit
Oregon,Travel and Transit,Travel & Transit
Maryland,Travel and Transit,Travel & Transit
Colorado,Travel and Transit,Travel & Transit
North Carolina,Travel and Transit,Travel & Transit
Montana,Travel and Transit,Travel & Transit
Wyoming,Travel and Transit,Travel & Transit
South Dakota,Travel and Transit,Travel & Transit
Nebraska,Travel and Transit,Travel & Transit
Wisconsin,Travel and Transit,Travel & Transit
Ohio,Travel and Transit,Travel & Transit
Minnesota,Travel and Transit,Travel & Transit
Pennsylvania,Travel and Transit,Travel & Transit
Michigan,Travel and Transit,Travel & Transit
Virginia,Travel and Transit,Travel & Transit
Illinois,Travel and Transit,Travel & Transit
Missouri,Travel and Transit,Travel & Transit
Arkansas,Travel and Transit,Travel & Transit
New Mexico,Travel and Transit,Travel & Transit
Louisiana,Travel and Transit,Travel & Transit
Vermont,Travel and Transit,Travel & Transit
Mississippi,Travel and Transit,Travel & Transit
South Carolina,Travel and Transit,Travel & Transit
Kentucky,Travel and Transit,Travel & Transit
Rhode Island,Travel and Transit,Travel & Transit
Idaho,Travel and Transit,Travel & Transit
Delaware,Travel and Transit,Travel & Transit
North Dakota,Travel and Transit,Travel & Transit
Alaska,Travel and Transit,Travel & Transit
Indiana,Travel and Transit,Travel & Transit
Kansas,Travel and Transit,Travel & Transit
Treasure Island Hotel & Casino,Hotels and Resorts,Travel & Hospitality
Grand Central Terminal,Landmarks and Monuments,Historical & Cultural
New York - New York Hotel & Casino Las Vegas,Hotels and Resorts,Travel & Hospitality
LaGuardia Airport,Airport,Travel & Transit
Newark Liberty International Airport,Airport,Travel & Transit
The Venetian Resort Las Vegas,Hotels and Resorts,Travel & Hospitality
Bellagio Las Vegas,Hotels and Resorts,Travel & Hospitality
Dane County Regional Airport,Airport,Travel & Transit
Washington Dulles International Airport,Airport,Travel & Transit
Parc 55 Hotel,Hotels and Resorts,Travel & Hospitality
St. James Hotel,Hotels and Resorts,Travel & Hospitality
John F. Kennedy International Airport,Airport,Travel & Transit
Portland Union Station,Station,Travel & Transit
Cassa Hotel,Hotels and Resorts,Travel & Hospitality
McCarran International Airport,Airport,Travel & Transit
LAX,Airport,Travel & Transit
DFW Airport,Airport,Travel & Transit
Chicago Midway International Airport,Airport,Travel & Transit
San Francisco International Airport (SFO),Airport,Travel & Transit
Ronald Reagan Washington National Airport,Airport,Travel & Transit
Miami International Airport - MIA,Airport,Travel & Transit
Hartsfield-Jackson Atlanta International Airport,Airport,Travel & Transit
Biltmore Hotel Miami Coral Gables,Hotels and Resorts,Travel & Hospitality
San Diego International Airport,Airport,Travel & Transit
Hotel del Coronado,Landmarks and Monuments,Historical & Cultural
Fresno Chandler Executive Airport,Airport,Travel & Transit
Boston Logan International Airport,Airport,Travel & Transit
The Mirage Hotel and Casino,Hotels and Resorts,Travel & Hospitality
Bryce Canyon Airport,Airport,Travel & Transit
Club Quarters Hotel Houston,Hotels and Resorts,Travel & Hospitality
"Cleveland, Ohio. Cleveland Hopkins Airport",Airport,Travel & Transit
Trump International Hotel Las Vegas,Hotels and Resorts,Travel & Hospitality
Omni Fort Worth Hotel,Hotels and Resorts,Travel & Hospitality
Portland International Airport,Airport,Travel & Transit
Baltimore-Washington International Airport,Airport,Travel & Transit
Sheraton Kansas City Hotel at Crown Center,Hotels and Resorts,Travel & Hospitality
Fremont Hotel & Casino,Hotels and Resorts,Travel & Hospitality
Chicago O'Hare International Airport,Airport,Travel & Transit
Four Seasons Hotel Baltimore,Hotels and Resorts,Travel & Hospitality
Los Angeles Airport Marriott,Hotels and Resorts,Travel & Hospitality
Mineta San Jose International Airport,Airport,Travel & Transit
Rosen Center Hotel Orlando Fl,Hotels and Resorts,Travel & Hospitality
Phoenix Sky Harbor International Airport,Airport,Travel & Transit
Melbourne International Airport,Airport,Travel & Transit
Guardians of the Galaxy - Mission: Breakout,Theme parks,Amusement & Theme Parks
Denver International Airport,Airport,Travel & Transit
Harvey Field Airport,Airport,Travel & Transit
Moses Lake Municipal Airport,Airport,Travel & Transit
Seattle-Tacoma International Airport (Sea-Tac),Airport,Travel & Transit
Los Angeles International Airport,Airport,Travel & Transit
The Perry Hotel Key West,Hotels and Resorts,Travel & Hospitality
The Westin Los Angeles Airport,Hotels and Resorts,Travel & Hospitality
Union Station Los Angeles,Station,Travel & Transit
The Beverly Hills Hotel,Hotels and Resorts,Travel & Hospitality
Orlando International Airport (MCO),Airport,Travel & Transit
St. Louis Lambert International Airport,Travel and Transit,Travel & Transit
"John Wayne Airport, Orange County",Travel and Transit,Travel & Transit
Virgin Hotels Chicago,Hotels and Resorts,Travel & Hospitality
Nashville International Airport,Travel and Transit,Travel & Transit
Sheraton Cerritos Hotel,Hotels and Resorts,Travel & Hospitality
El Paso International Airport (ELP),Travel and Transit,Travel & Transit
Salt Lake City International Airport (SLC),Travel and Transit,Travel & Transit
Loews Portofino Bay Hotel at Universal Orlando,Hotels and Resorts,Travel & Hospitality
Plaza Hotel & Casino,Casinos,Entertainment & Culture
Four Seasons Hotel Los Angeles at Beverly Hills,Hotels and Resorts,Travel & Hospitality
Hilton Boston Logan Airport,Travel and Transit,Travel & Transit
Excalibur Hotel Casino,Casinos,Entertainment & Culture
Houston-Intercontinental Airport,Travel and Transit,Travel & Transit
Jefferson Hotel,Hotels and Resorts,Travel & Hospitality
Renaissance Concourse Atlanta Airport Hotel,Hotels and Resorts,Travel & Hospitality
Venice Airport,Travel and Transit,Travel & Transit
Kimpton Everly Hotel,Hotels and Resorts,Travel & Hospitality
Chicago Union Station,Travel and Transit,Travel & Transit
Alexandria Union Station,Travel and Transit,Travel & Transit
Van Nuys Airport VNY,Travel and Transit,Travel & Transit
Renaissance Marriott Hotel,Hotels and Resorts,Travel & Hospitality
Hyatt Regency Los Angeles International Airport,Travel and Transit,Travel & Transit
24 North Hotel Key West,Hotels and Resorts,Travel & Hospitality
Wythe Hotel,Hotels and Resorts,Travel & Hospitality
Aviation/LAX station,Travel and Transit,Travel & Transit
Omni San Francisco Hotel,Hotels and Resorts,Travel & Hospitality
Trump International Hotel & Tower Chicago,Hotels and Resorts,Travel & Hospitality
Amway Grand Plaza Hotel,Hotels and Resorts,Travel & Hospitality
Minneapolis–Saint Paul International Airport,Airport,Travel & Transit
Hard Rock Hotel San Diego,Hotels and Resorts,Travel & Hospitality
Norfolk International Airport,Travel and Transit,Travel & Transit
Crowne Plaza Hotel,Hotels and Resorts,Travel & Hospitality
Buffalo Niagara International Airport,Travel and Transit,Travel & Transit
Hudson Hotel,Hotels and Resorts,Travel & Hospitality
LAX Sign,Travel and Transit,Travel & Transit
The Brown Hotel,Hotels and Resorts,Travel & Hospitality
Albany International Airport,Travel and Transit,Travel & Transit
Prytania Park Hotel,Hotels and Resorts,Travel & Hospitality
Hotel CURRENT,Hotels and Resorts,Travel & Hospitality
Union Station (New Haven),Travel and Transit,Travel & Transit
Four Seasons Hotel Chicago,Hotels and Resorts,Travel & Hospitality
Radisson Hotel Rochester Riverside,Hotels and Resorts,Travel & Hospitality
Palm Springs International Airport,Travel and Transit,Travel & Transit
The Kimpton Gray Hotel,Hotels and Resorts,Travel & Hospitality
Ace Hotel Portland,Hotels and Resorts,Travel & Hospitality
St. George Regional Airport,Travel and Transit,Travel & Transit
Charlotte Douglas International Airport,Travel and Transit,Travel & Transit
MKE - Milwaukee Mitchell International Airport,Travel and Transit,Travel & Transit
John F. Kennedy International Airport  - JFK - USA,Airport,Travel & Transit
Boston Harbor Hotel,Hotels and Resorts,Travel & Hospitality
Hotel Indigo Lower East Side New York,Hotels and Resorts,Travel & Hospitality
The Maritime Hotel,Hotels and Resorts,Travel & Hospitality
Pod 39 Hotel,Hotels and Resorts,Travel & Hospitality
Union Station (MetroLink),Travel and Transit,Travel & Transit
Hotel Irvine,Hotels and Resorts,Travel & Hospitality
Four Seasons Hotel Austin,Hotels and Resorts,Travel & Hospitality
MSP Airport,Travel and Transit,Travel & Transit
Boulder City Municipal Airport,Travel and Transit,Travel & Transit
JFK International Airport,Travel and Transit,Travel & Transit
The Roxy Hotel NYC,Hotels and Resorts,Travel & Hospitality
Rosen Hotels & Resorts Orlando,Hotels and Resorts,Travel & Hospitality
The Plaza Hotel,Hotels and Resorts,Travel & Hospitality
Wynn Hotel Resort,Casinos,Entertainment & Culture
Hotel G San Francisco,Hotels and Resorts,Travel & Hospitality
Houston International Airport. TEXAS,Travel and Transit,Travel & Transit
Galaxy Diner,Dining,Shopping & Dining
BWI Thurgood Marshall Airport (BWI),Travel and Transit,Travel & Transit
The CLIFT Hotel -San Francisco,Hotels and Resorts,Travel & Hospitality
San Francisco International Airport,Travel and Transit,Travel & Transit
Fresno Yosemite International Airport,Travel and Transit,Travel & Transit
Mondrian Los Angeles Hotel,Hotels and Resorts,Travel & Hospitality
Oakland International Airport,Travel and Transit,Travel & Transit
Long Beach Airport,Travel and Transit,Travel & Transit
Hotel Chelsea,Hotels and Resorts,Travel & Hospitality
Lax International Airport,Travel and Transit,Travel & Transit
Wilshire Crest Hotel,Hotels and Resorts,Travel & Hospitality
"Houston International Airport, Texas, USA",Travel and Transit,Travel & Transit
BWI- Baltimore International Airport,Travel and Transit,Travel & Transit
Philadelphia International Airport,Travel and Transit,Travel & Transit
SEA - Seattle-Tacoma International Airport,Travel and Transit,Travel & Transit
Bradley International Airport,Travel and Transit,Travel & Transit
PHL -Philadelphia International Airport,Travel and Transit,Travel & Transit
Beverly Wilshire Hotel,Hotels and Resorts,Travel & Hospitality
The Palms Hotel & Spa,Hotels and Resorts,Travel & Hospitality
The McKittrick Hotel,Hotels and Resorts,Travel & Hospitality
Salt Lake City International Airport,Travel and Transit,Travel & Transit
Piedmont Triad International Airport (GSO),Travel and Transit,Travel & Transit
Reagan International Airport,Travel and Transit,Travel & Transit
Raleigh-Durham International Airport (RDU),Travel and Transit,Travel & Transit
